WATCODE,STATE HERITAGE FISH WATER,ALTERNATE NAME,TOWN,COUNTY,REGION,STATE HERITAGE FISH,*LAST YEAR STOCKED
1502,PELLETIER B L (6TH),,T15 R9 WELS,AROOSTOOK,G,BKT,NRS
1482,PETE'S P,,T13 R10 WELS,AROOSTOOK,G,BKT,NRS
2756,PLEASANT L (BIG),,T9 R11 WELS,PISCATAQUIS,G,BKT,NRS
1943,PLEASANT P (LITTLE),,T10 R11 WELS,PISCATAQUIS,G,BKT,NRS
2762,PORTAGE P (UPPER),,T9 R11 WELS,PISCATAQUIS,G,BKT,NRS
1870,PRESLEY L,,T12 R17 WELS,AROOSTOOK,G,BKT,NRS
1758,PRESQUE ISLE L,,T9 R3 WELS,AROOSTOOK,G,BKT,NRS
1514,PUSHINEER P,,T15 R9 WELS,AROOSTOOK,G,BKT-CHR,NRS
2746,RAGGED P,RAGGED P # 1,T9 R10 WELS,PISCATAQUIS,G,BKT,NRS
2744,RAGGED P (LITTLE),RAGGED P # 2,T9 R10 WELS,PISCATAQUIS,G,BKT,NRS
1716,READ L,,MERRILL,AROOSTOOK,G,BKT,NRS
2842,REED P (BIG),,T8 R10 WELS,PISCATAQUIS,G,BKT-CHR,2011
2838,REED P (LITTLE),,T8 R10 WELS,PISCATAQUIS,G,BKT,NRS
521,RITTER L,,BRIDGEWATER,AROOSTOOK,G,BKT,1967
9794,ROBBINS BROOK P,,T12 R11 WELS,AROOSTOOK,G,BKT,NRS
1020,ROSS L,,LITTLETON,AROOSTOOK,G,BKT,NRS
1470,ROUND P,,T13 R12 WELS,AROOSTOOK,G,BKT,NRS
1594,ROUND P,,T14 R8 WELS,AROOSTOOK,G,BKT,NRS
4158,ROUND P,,T7 R9 WELS,PISCATAQUIS,G,BKT,NRS
2960,RUSSELL P (UPPER),,T9 R14 WELS,PISCATAQUIS,G,BKT,NRS
1484,SAG P,,T13 R10 WELS,AROOSTOOK,G,BKT,NRS
2398,SAINT FRANCIS L,,T8 R16 WELS,SOMERSET,G,BKT,NRS
3660,SECRET P,,MORO PLT,AROOSTOOK,G,BKT,1952
2748,SEWALL DEADWATER P,,T9 R10 WELS,PISCATAQUIS,G,BKT,NRS
1642,SLY BROOK L (FIRST),,NEW CANADA,AROOSTOOK,G,BKT,1967
1644,SLY BROOK L (SECOND),,NEW CANADA,AROOSTOOK,G,BKT,1945
9783,SOLDIER P,,WALLAGRASS,AROOSTOOK,G,BKT,NRS
1488,SOWISH L,,T18 R10 WELS,AROOSTOOK,G,BKT,NRS
2832,SPRING P,,T7 R10 WELS,PISCATAQUIS,G,BKT,NRS
1518,STINK P,,T15 R9 WELS,AROOSTOOK,G,BKT,NRS
